username, created_at, lng, lat, text
p_jaikumar, Wed Apr 22 06:07:57 +0000 2020, 88.352242, 22.612706, https://t.co/79BlMZ6wf0
GingerSottile, Wed Apr 22 06:07:59 +0000 2020, -79.837322, 32.847947, Seriously wth??
JackieWarner13, Wed Apr 22 06:08:01 +0000 2020, 150.931975, -33.848244, Constructive discussion &amp; Donald Trump shouldn't be in the same sentence.
mauriziobarbol1, Wed Apr 22 06:08:09 +0000 2020, 12.867294, 43.894178, Buongiorno,Ricapitolando #Trump ha già mandato i soldi alle famiglie e impreseIdem #PutinCina, Olanda( 4.000) ,… https://t.co/SDnrShbISO
manib81, Wed Apr 22 06:08:26 +0000 2020, -1.518651, 52.411913, @nowthisnews Pick your hand up if you want to smack Trump in the head to see if he has a brain... https://t.co/igTB9Cknsd
William73529424, Wed Apr 22 06:08:36 +0000 2020, -79.861034, 35.170499, I have followed quite a few people that have the same negative views of Trump, and could really use some followers.… https://t.co/0pAshjD9u7
machonejack, Wed Apr 22 06:08:50 +0000 2020, -85.722346, 38.195555, But trump &amp; his family raking in 💰💰along with trumps select GOP puppets cashing in on a horrible lie 🤬
cutejimmyy, Wed Apr 22 06:08:51 +0000 2020, 103.630391, 1.472844, Meanwhile in Malaysia, someone said that there are 500 countries.#ytjt
Intuativegemini, Wed Apr 22 06:08:57 +0000 2020, -112.124676, 33.552863, @MSNBC look Trump has stock inThis medication..family trust bought!!
HeinzSc51846951, Wed Apr 22 06:09:03 +0000 2020, 12.485660, 50.720049, @Eddie_1412 @taz_berlin @BarbaraJunge @morgenmagazin Das Moma kann man sich am Morgen nicht an tun. Hetze gegen TRU… https://t.co/cZ5Y9xj1kv
JulieManfredi, Wed Apr 22 06:09:06 +0000 2020, 150.931975, -33.848244, Now he is lashing out blaming others and causing chaos
JGoku18, Wed Apr 22 06:09:12 +0000 2020, -94.696224, 37.405767, This is fantastic.
robbierocket7, Wed Apr 22 06:09:21 +0000 2020, 145.053135, -37.972566, @pwafork @spooky_girl it started in china, but is spreading through your mates trump land like we've had a few to m… https://t.co/8Q8jRYr2Xo
gonzostein, Wed Apr 22 06:09:27 +0000 2020, -76.620482, 39.284713, @AuthorKimberley If it prevents a 2nd Trump term...yay!!!!
ewillis7, Wed Apr 22 06:09:28 +0000 2020, -79.857363, 36.090397, @GovLarryHogan Trump may not recognize shade. But I do. https://t.co/5wzuRiRo3q
democraticbear, Wed Apr 22 06:09:45 +0000 2020, -80.084212, 26.617028, Hate to tell these Republican Trumpsuckers, COVID-19 does not care about Political Party Affiliation.Not any ques… https://t.co/0zeaPocfph
nicholasvirzi, Wed Apr 22 06:09:56 +0000 2020, -90.224221, 15.772468, ¿Qué les pasa? Admite:"no fue un experimento riguroso" y "no ha sido revisado por otros científicos". "La diferen… https://t.co/LHHUIiZ0eK
mcford77, Wed Apr 22 06:10:07 +0000 2020, -83.804475, 27.698682, They knew this for months but refused to vote to allow witnesses ?
RealityLocal, Wed Apr 22 06:10:12 +0000 2020, 78.385285, 17.395038, @BJP4India It makes sense that @narendramodi would get his compliments from the likes of this extreme right wing, r… https://t.co/MP7GDV7Luk
